                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2171,                 4.1307,                  1.259,                0.00423,                0.38236,                0.00294,                0.00172,                 1.2652,                 3.5883,                0.88648,             0.00026672,             0.00026672,             0.00026672
                      2,                 1.4884,                 2.0414,                0.98853,                 0.0006,                0.05764,                0.00035,                 0.0001,                  1.324,                 3.4876,                0.94002,             0.00054793,             0.00054793,             0.00054793
                      3,                 1.4713,                 1.5789,                0.97989,                0.00508,                0.51025,                 0.1043,                0.06492,                 1.3016,                 3.0543,                 0.9363,              0.0008269,              0.0008269,              0.0008269
                      4,                 1.3801,                  1.291,                0.96351,                0.01102,                 0.9805,                0.87904,                 0.5297,                  1.187,                 2.5917,                0.91852,              0.0011036,              0.0011036,              0.0011036
                      5,                 1.4248,                 1.2236,                0.98509,                0.90537,                0.82698,                0.93367,                0.53328,                 1.2311,                 1.7205,                0.92643,              0.0013781,              0.0013781,              0.0013781
                      6,                 1.3644,                 1.1107,                0.95827,                0.97558,                0.97586,                0.96689,                 0.5827,                 1.2446,                 1.3564,                0.94415,               0.001634,               0.001634,               0.001634
                      7,                 1.3425,                 1.0665,                0.96355,                0.94476,                0.96439,                0.96958,                0.58984,                 1.2393,                0.96261,                0.95457,               0.001634,               0.001634,               0.001634
                      8,                  1.422,                 1.1315,                0.96894,                 0.9574,                0.97118,                0.95803,                0.60385,                 1.2229,                 0.7788,                0.95964,              0.0016274,              0.0016274,              0.0016274
                      9,                 1.3087,                0.99854,                0.95068,                0.96307,                0.97598,                0.96724,                0.60377,                 1.2476,                0.71228,                0.96625,              0.0016208,              0.0016208,              0.0016208
                     10,                 1.3071,                0.90987,                0.94784,                0.96436,                0.96818,                0.96755,                 0.5676,                 1.3439,                0.70992,                0.97783,              0.0016142,              0.0016142,              0.0016142
                     11,                 1.3244,                0.87369,                0.94593,                0.97316,                0.96729,                0.97145,                0.60787,                 1.2398,                 0.6782,                0.94676,              0.0016076,              0.0016076,              0.0016076
                     12,                 1.3843,                0.90739,                0.97109,                 0.9679,                0.97244,                0.98292,                 0.6167,                 1.2232,                0.64526,                0.94338,               0.001601,               0.001601,               0.001601
                     13,                 1.3127,                0.84279,                0.95631,                0.97425,                0.97777,                0.98305,                 0.6255,                  1.174,                0.61007,                0.93232,              0.0015944,              0.0015944,              0.0015944
                     14,                 1.3621,                0.85329,                0.96307,                0.97032,                0.98389,                0.98278,                0.61138,                 1.2275,                0.64895,                0.94846,              0.0015878,              0.0015878,              0.0015878
                     15,                 1.2901,                0.83231,                0.94987,                0.98462,                0.98431,                0.99023,                0.62082,                 1.2325,                0.67245,                 0.9432,              0.0015812,              0.0015812,              0.0015812
                     16,                 1.3073,                0.81749,                0.93321,                0.97919,                0.98295,                0.98433,                0.60346,                   1.24,                0.64466,                0.94515,              0.0015746,              0.0015746,              0.0015746
                     17,                 1.2771,                0.77272,                0.94747,                0.98414,                 0.9805,                0.98772,                 0.6122,                  1.241,                0.62232,                0.93903,               0.001568,               0.001568,               0.001568
                     18,                 1.2467,                 0.7282,                0.95314,                0.98256,                0.99148,                0.98267,                0.62621,                 1.1877,                0.61662,                0.93416,              0.0015614,              0.0015614,              0.0015614
                     19,                 1.2877,                0.73518,                0.94613,                0.98211,                0.99064,                0.97973,                0.60597,                   1.27,                0.59246,                0.94536,              0.0015548,              0.0015548,              0.0015548
                     20,                 1.2962,                0.74091,                0.93537,                0.97125,                0.98893,                0.98593,                0.63453,                 1.1696,                0.57826,                0.92255,              0.0015482,              0.0015482,              0.0015482
                     21,                   1.27,                0.70739,                0.92937,                0.97354,                 0.9889,                0.98882,                0.61202,                 1.2075,                0.61098,                0.92719,              0.0015416,              0.0015416,              0.0015416
